respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
227465_0018,227465,B,Easy Entertaining Appetizers,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's Facebook page,1,White,No,Woman,35-64,Paxton
227465_0019,227465,B,Leather Workshop,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's enewsletter,1,White,No,Woman,65+,Tolono
227465_0020,227465,B,Leather Workshop,NA,5,Very satisfied,NA,3,3,5,Fiber arts,NA,NA,The class was great! I learned a lot of new skills and was able to leave with two completed projects.,Allerton's Facebook page,1,White,No,Woman,35-64,Decatur
227465_0021,227465,B,Learn the Guitar,NA,1,Very dissatisfied,"The course in theory was for beginners, but in practice it required a fairly solid grasp of guitar notes and chords, and the ability to actually execute them, to keep up.",1,1,2,NA,NA,"I now understand that the group class was a means to present information, rather than a setting to gauge and address progress. Perhaps two hours workshops that address specific areas, such as: learn the top five chords and play one song; learn three strumming patterns and learn one song; learn or Improve chord transitions; etc. Short, focused lessons that allow one to actually play and practice during the session.",NA,Allerton's enewsletter,1,NA,NA,NA,NA,NA
227465_0022,227465,B,Leather Workshop,NA,5,Very satisfied,NA,3,2,5,"Book Binding, Glass working, Metal working",NA,NA,NA,Allerton's website,1,White,No,Man,18-34,Champaign
227465_0023,227465,B,Spinning Yarn,NA,5,Very satisfied,"Good length, organized, good student-teacher ratio",3,3,5,NA,NA,"The class ended in the dark, and it happened to be raining. Getting to the bathroom and back to my car was challenging with so little outdoor lighting. I love that there's no light pollution, but I honestly stopped in the road and looked toward my car, but could not see it. If there hadn't been a streak of lightening, I would not have seen it at all! Perhaps some sort of lighting that can be turned off when the interior building lights are turned off for the night would be handy.",NA,"Allerton's enewsletter, Allerton's Facebook page",2,White,No,Woman,35-64,St Joe
227465_0024,227465,B,Learn the Guitar,NA,5,Very satisfied,NA,3,3,5,Metalworking,NA,NA,"I've tried to learn guitar many times and this is the first time it started to ""click"" and I can see myself able to play if I keep practicing","Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,NA,NA,Man,18-34,Mt Zion
227465_0025,227465,B,Granny Squares Crochet,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's website,1,White,No,Woman,65+,Normal
227465_0026,227465,B,Granny Squares Crochet,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page, From a friend, Other",4,White,No,Woman,35-64,Clinton
227465_0027,227465,B,Granny Squares Crochet,NA,5,Very satisfied,NA,3,3,5,NA,NA,I see there's a Knitting 201-Mittens class for the spring offered on Thursdays - I'd love to see a Sunday option for this one like there was for Knitting 101.,NA,"Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,35-64,Champaign
